,Category,Japanese Meteorological Agency
0,1880.0,
1,1881.0,
2,1882.0,
3,1883.0,
4,1884.0,
5,1885.0,
6,1886.0,
7,1887.0,
8,1888.0,
9,1889.0,
10,1890.0,
11,1891.0,-0.26
12,1892.0,-0.37
13,1893.0,-0.42
14,1894.0,-0.34
15,1895.0,-0.3
16,1896.0,-0.09
17,1897.0,-0.1
18,1898.0,-0.27
19,1899.0,-0.18
20,1900.0,-0.1
21,1901.0,-0.18
22,1902.0,-0.31
23,1903.0,-0.37
24,1904.0,-0.42
25,1905.0,-0.3
26,1906.0,-0.22
27,1907.0,-0.39
28,1908.0,-0.42
29,1909.0,-0.42
30,1910.0,-0.4
31,1911.0,-0.41
32,1912.0,-0.34
33,1913.0,-0.31
34,1914.0,-0.14
35,1915.0,-0.09
36,1916.0,-0.33
37,1917.0,-0.39
38,1918.0,-0.26
39,1919.0,-0.21
40,1920.0,-0.17
41,1921.0,-0.1
42,1922.0,-0.19
43,1923.0,-0.18
44,1924.0,-0.19
45,1925.0,-0.11
46,1926.0,0.01
47,1927.0,-0.1
48,1928.0,-0.13
49,1929.0,-0.23
50,1930.0,-0.04
51,1931.0,0.03
52,1932.0,-0.04
53,1933.0,-0.14
54,1934.0,-0.03
55,1935.0,-0.07
56,1936.0,-0.01
57,1937.0,0.08
58,1938.0,0.08
59,1939.0,0.0
60,1940.0,-0.03
61,1941.0,0.07
62,1942.0,0.04
63,1943.0,0.03
64,1944.0,0.16
65,1945.0,0.03
66,1946.0,-0.06
67,1947.0,-0.06
68,1948.0,0.01
69,1949.0,0.01
70,1950.0,-0.11
71,1951.0,0.02
72,1952.0,0.04
73,1953.0,0.11
74,1954.0,-0.12
75,1955.0,-0.15
76,1956.0,-0.24
77,1957.0,0.03
78,1958.0,0.08
79,1959.0,0.02
80,1960.0,-0.05
81,1961.0,0.03
82,1962.0,0.03
83,1963.0,0.07
84,1964.0,-0.18
85,1965.0,-0.11
86,1966.0,-0.03
87,1967.0,-0.03
88,1968.0,-0.08
89,1969.0,0.04
90,1970.0,-0.01
91,1971.0,-0.14
92,1972.0,-0.02
93,1973.0,0.11
94,1974.0,-0.16
95,1975.0,-0.11
96,1976.0,-0.22
97,1977.0,0.07
98,1978.0,0.0
99,1979.0,0.13
100,1980.0,0.14
101,1981.0,0.18
102,1982.0,0.05
103,1983.0,0.21
104,1984.0,0.01
105,1985.0,0.01
106,1986.0,0.1
107,1987.0,0.25
108,1988.0,0.24
109,1989.0,0.17
110,1990.0,0.33
111,1991.0,0.28
112,1992.0,0.13
113,1993.0,0.17
114,1994.0,0.25
115,1995.0,0.37
116,1996.0,0.24
117,1997.0,0.43
118,1998.0,0.58
119,1999.0,0.35
120,2000.0,0.33
121,2001.0,0.47
122,2002.0,0.52
123,2003.0,0.53
124,2004.0,0.47
125,2005.0,0.58
126,2006.0,0.54
127,2007.0,0.52
128,2008.0,0.44
129,2009.0,0.55
130,2010.0,0.63
131,2011.0,0.47
132,2012.0,0.53
133,2013.0,0.59
134,2014.0,0.65
135,2015.0,0.82
136,2016.0,0.87
137,2017.0,0.78
138,2018.0,0.68
139,2019.0,0.83
140,2020.0,0.86
141,2021.0,0.74
142,2022.0,0.76
