,Category,Met Office Hadley Centre/Climatic Research Unit
0,1880.0,-0.25
1,1881.0,-0.17
2,1882.0,-0.23
3,1883.0,-0.28
4,1884.0,-0.43
5,1885.0,-0.4
6,1886.0,-0.35
7,1887.0,-0.43
8,1888.0,-0.31
9,1889.0,-0.18
10,1890.0,-0.44
11,1891.0,-0.33
12,1892.0,-0.44
13,1893.0,-0.43
14,1894.0,-0.42
15,1895.0,-0.38
16,1896.0,-0.22
17,1897.0,-0.19
18,1898.0,-0.42
19,1899.0,-0.29
20,1900.0,-0.17
21,1901.0,-0.23
22,1902.0,-0.37
23,1903.0,-0.47
24,1904.0,-0.53
25,1905.0,-0.34
26,1906.0,-0.25
27,1907.0,-0.44
28,1908.0,-0.45
29,1909.0,-0.47
30,1910.0,-0.46
31,1911.0,-0.47
32,1912.0,-0.41
33,1913.0,-0.4
34,1914.0,-0.2
35,1915.0,-0.13
36,1916.0,-0.35
37,1917.0,-0.48
38,1918.0,-0.36
39,1919.0,-0.26
40,1920.0,-0.23
41,1921.0,-0.17
42,1922.0,-0.27
43,1923.0,-0.25
44,1924.0,-0.25
45,1925.0,-0.22
46,1926.0,-0.06
47,1927.0,-0.16
48,1928.0,-0.14
49,1929.0,-0.33
50,1930.0,-0.11
51,1931.0,-0.04
52,1932.0,-0.08
53,1933.0,-0.26
54,1934.0,-0.11
55,1935.0,-0.14
56,1936.0,-0.1
57,1937.0,0.05
58,1938.0,0.05
59,1939.0,0.03
60,1940.0,0.14
61,1941.0,0.1
62,1942.0,0.07
63,1943.0,0.07
64,1944.0,0.21
65,1945.0,0.11
66,1946.0,-0.05
67,1947.0,-0.02
68,1948.0,-0.06
69,1949.0,-0.08
70,1950.0,-0.16
71,1951.0,0.01
72,1952.0,0.08
73,1953.0,0.14
74,1954.0,-0.05
75,1955.0,-0.13
76,1956.0,-0.2
77,1957.0,0.03
78,1958.0,0.05
79,1959.0,0.02
80,1960.0,-0.05
81,1961.0,0.05
82,1962.0,0.0
83,1963.0,0.03
84,1964.0,-0.24
85,1965.0,-0.14
86,1966.0,-0.08
87,1967.0,-0.05
88,1968.0,-0.1
89,1969.0,0.04
90,1970.0,-0.02
91,1971.0,-0.14
92,1972.0,-0.03
93,1973.0,0.12
94,1974.0,-0.11
95,1975.0,-0.04
96,1976.0,-0.15
97,1977.0,0.17
98,1978.0,0.07
99,1979.0,0.16
100,1980.0,0.26
101,1981.0,0.32
102,1982.0,0.1
103,1983.0,0.29
104,1984.0,0.11
105,1985.0,0.12
106,1986.0,0.16
107,1987.0,0.31
108,1988.0,0.35
109,1989.0,0.25
110,1990.0,0.43
111,1991.0,0.41
112,1992.0,0.19
113,1993.0,0.23
114,1994.0,0.3
115,1995.0,0.44
116,1996.0,0.34
117,1997.0,0.49
118,1998.0,0.64
119,1999.0,0.39
120,2000.0,0.4
121,2001.0,0.56
122,2002.0,0.61
123,2003.0,0.61
124,2004.0,0.53
125,2005.0,0.67
126,2006.0,0.64
127,2007.0,0.66
128,2008.0,0.53
129,2009.0,0.66
130,2010.0,0.75
131,2011.0,0.6
132,2012.0,0.64
133,2013.0,0.69
134,2014.0,0.74
135,2015.0,0.89
136,2016.0,1.0
137,2017.0,0.91
138,2018.0,0.83
139,2019.0,0.96
140,2020.0,0.99
141,2021.0,0.83
142,2022.0,0.87
